Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Elevation (m),Landslide Risk Prediction
24,35,228,50,819,Low
22,75,212,66,899,Moderate
28,80,246,30,743,Low
27,73,133,77,939,Moderate
32,55,132,36,548,Low
27,92,75,22,126,Low
30,60,13,30,14,Low
19,86,158,35,415,Low
30,40,101,31,732,Low
32,72,166,77,594,Moderate
18,49,45,72,576,Low
35,52,199,34,673,Low
22,66,212,20,927,Low
27,95,102,43,935,Low
23,89,192,53,596,Low
31,56,94,36,683,Low
22,51,126,20,326,Low
23,78,205,63,134,Low
17,41,36,75,961,Low
17,45,197,69,196,Low
26,69,149,31,670,Low
17,57,9,84,223,Low
25,60,209,50,294,Low
26,34,25,37,164,Low
31,73,190,73,126,Low
27,38,236,34,254,Low
33,31,184,21,628,Low
29,70,11,24,801,Low
19,46,222,62,440,Low
17,70,197,42,604,Low
29,91,230,77,648,High
20,72,218,43,92,Low
26,75,240,56,893,Low
22,47,49,32,443,Low
31,72,155,64,839,Moderate
20,63,7,60,964,Low
34,75,76,81,389,Low
29,32,21,73,385,Low
15,43,204,46,889,Low
25,37,10,67,326,Low
18,68,230,83,762,Low
22,65,213,66,178,Low
28,71,203,70,106,Low
32,46,114,35,847,Low
28,53,43,66,50,Low
21,91,246,51,555,Low
16,75,28,83,360,Low
15,30,3,60,873,Low
30,82,194,37,793,Low
18,82,226,87,96,Low
27,74,17,59,726,Low
33,75,57,47,639,Low
31,42,47,65,947,Low
32,41,53,61,527,Low
29,81,220,62,274,Moderate
25,51,34,82,898,Low
32,85,136,82,63,Low
30,58,39,61,353,Low
25,68,81,76,226,Low
20,67,80,60,296,Low
23,32,234,25,341,Low
22,82,230,24,475,Low
16,47,88,77,306,Low
21,64,213,26,279,Low
15,70,198,42,225,Low
16,93,233,41,239,Low
29,30,102,39,770,Low
19,63,48,37,723,Low
34,71,24,60,13,Low
21,65,198,45,604,Low
34,47,244,63,471,Low
26,77,58,35,836,Low
29,72,17,51,329,Low
22,39,239,78,397,Low
32,74,176,27,182,Low
33,69,205,82,155,Low
30,74,31,76,964,Low
27,75,183,45,459,Low
22,69,234,50,798,Low
19,80,152,57,640,Low
24,60,158,56,19,Low
31,58,76,44,146,Low
19,58,41,56,678,Low
20,48,107,35,510,Low
19,76,86,48,179,Low
35,82,139,55,144,Low
17,79,31,72,99,Low
18,78,249,84,235,Moderate
32,81,181,55,668,Low
29,30,11,81,273,Low
30,58,241,42,475,Low
18,67,125,71,631,Low
31,59,223,57,147,Low
25,48,242,59,356,Low
28,65,77,57,397,Low
28,81,7,23,203,Low
25,59,57,47,627,Low
34,70,75,34,36,Low
35,63,55,80,608,Low
30,34,241,46,783,Low
23,85,109,29,607,Low
17,61,144,24,521,Low
17,94,144,33,314,Low
32,44,180,42,199,Low
29,87,91,70,627,Moderate
18,35,205,57,118,Low
30,50,26,35,606,Low
27,91,53,36,923,Low
22,56,156,76,851,Low
29,45,132,60,89,Low
25,76,118,84,849,Moderate
17,35,238,88,650,Low
19,45,160,34,357,Low
23,94,161,49,641,Low
21,66,90,20,702,Low
28,61,122,74,512,Low
32,91,16,55,891,Low
16,87,168,64,900,Moderate
18,34,193,51,230,Low
35,42,114,32,604,Low
24,67,90,63,362,Low
35,44,145,28,662,Low
29,82,21,49,357,Low
24,82,32,72,925,Low
30,95,106,46,622,Low
23,51,96,79,833,Low
20,51,242,86,491,Low
20,34,48,47,124,Low
19,31,236,24,834,Low
19,57,97,34,952,Low
23,36,127,34,279,Low
23,65,110,23,944,Low
33,39,166,25,716,Low
34,85,186,44,173,Low
17,65,37,61,707,Low
33,89,184,61,682,Moderate
15,41,115,90,167,Low
25,79,232,78,144,Low
25,71,65,88,164,Low
26,65,71,54,79,Low
32,36,81,32,738,Low
33,44,240,71,392,Low
31,75,239,80,216,Moderate
27,42,243,59,41,Low
34,52,90,83,570,Low
20,60,124,71,559,Low
34,92,197,42,198,Low
19,92,52,89,418,Low
31,69,233,35,118,Low
27,81,155,55,638,Low
34,30,185,90,622,Low
30,86,187,59,488,Low
21,57,7,73,542,Low
29,55,34,49,701,Low
16,89,23,45,661,Low
22,48,96,90,926,Low
35,86,76,21,669,Low
15,58,127,25,122,Low
24,58,179,69,384,Low
23,48,88,63,186,Low
29,90,7,56,426,Low
29,69,1,88,844,Low
27,48,65,87,286,Low
24,72,73,43,713,Low
31,93,77,50,684,Low
34,72,75,49,607,Low
15,86,233,37,742,Low
23,82,96,45,572,Low
31,54,189,75,274,Low
29,76,154,22,39,Low
20,54,179,46,904,Low
28,84,51,40,7,Low
31,82,94,23,14,Low
35,36,20,66,456,Low
23,34,164,71,989,Low
18,31,161,64,755,Low
25,65,182,68,111,Low
31,86,106,63,393,Moderate
21,56,18,90,966,Low
20,71,225,38,363,Low
31,85,153,54,661,Low
16,55,81,89,278,Low
31,80,133,60,903,Low
21,53,207,56,770,Low
20,71,246,34,556,Low
23,94,22,86,953,Low
27,91,143,81,804,High
31,47,22,52,907,Low
20,65,37,54,840,Low
23,65,164,33,505,Low
19,78,85,81,101,Low
24,82,234,90,864,Moderate
30,36,4,23,395,Low
27,91,147,41,465,Low
15,78,59,27,566,Low
25,67,51,69,20,Low
27,78,191,69,308,Moderate
25,70,170,87,480,Low
27,95,43,30,76,Low
15,85,231,80,198,Low
22,79,206,40,560,Low
29,51,192,55,200,Low
23,33,99,25,799,Low
31,36,11,31,866,Low
15,58,38,45,523,Low
15,50,201,38,41,Low
30,36,19,47,307,Low
19,31,63,29,380,Low
35,32,227,70,759,Low
30,34,210,22,918,Low
20,50,247,20,384,Low
16,64,27,82,108,Low
26,93,14,49,363,Low
25,82,244,54,462,Low
35,30,147,28,757,Low
21,41,76,59,447,Low
30,86,168,46,614,Low
28,73,103,70,927,Moderate
22,66,78,77,185,Low
34,47,130,52,616,Low
25,64,139,23,6,Low
21,92,40,57,213,Low
33,91,193,88,614,High
19,50,34,61,436,Low
15,77,160,54,59,Low
26,83,23,59,342,Low
28,78,221,74,575,Moderate
23,92,167,71,705,High
28,34,99,45,590,Low
31,80,120,83,826,Moderate
17,39,48,24,2,Low
20,78,100,62,670,Moderate
18,59,179,38,387,Low
15,70,55,66,722,Low
33,49,241,58,418,Low
18,71,144,90,10,Low
23,53,206,28,584,Low
21,70,214,57,594,Low
16,86,122,88,949,High
27,88,54,88,486,Low
15,84,86,52,535,Low
33,32,231,56,811,Low
21,33,69,49,495,Low
17,95,96,47,129,Low
15,65,211,34,641,Low
29,95,95,55,203,Low
34,94,143,74,372,High
19,80,168,34,509,Low
35,46,68,44,905,Low
16,44,137,31,455,Low
26,54,6,51,106,Low
24,52,108,86,31,Low
15,61,104,46,914,Low
29,35,196,65,572,Low
20,87,158,87,3,Low
25,77,9,82,174,Low
20,78,124,75,517,Moderate
17,73,163,62,813,Moderate
28,72,112,82,535,Moderate
17,71,49,20,584,Low
27,78,241,52,935,Low
22,60,243,72,160,Low
16,48,206,55,225,Low
32,65,23,38,646,Low
16,37,78,61,138,Low
17,66,41,83,965,Low
30,66,223,41,122,Low
31,90,31,39,915,Low
32,39,239,21,20,Low
26,41,72,52,704,Low
22,45,24,34,774,Low
27,40,100,22,62,Low
28,85,127,51,817,Low
30,41,134,45,933,Low
30,59,166,55,357,Low
19,32,151,29,926,Low
28,87,72,87,738,Low
24,33,139,31,323,Low
31,94,132,40,227,Low
16,78,187,33,154,Low
19,61,147,66,760,Low
33,61,0,89,991,Low
32,63,186,75,943,Low
24,45,190,36,182,Low
20,63,78,76,104,Low
24,87,36,61,852,Low
23,66,4,78,752,Low
26,69,84,33,611,Low
18,66,7,88,510,Low
33,84,47,55,838,Low
32,58,117,45,758,Low
15,49,197,69,657,Low
20,68,217,63,23,Low
25,68,153,53,766,Low
17,87,33,32,943,Low
25,36,33,72,108,Low
27,52,138,40,899,Low
15,71,109,71,305,Moderate
32,85,168,37,36,Low
26,64,36,66,659,Low
34,63,75,32,522,Low
32,38,97,23,902,Low
17,40,238,49,607,Low
22,37,13,50,674,Low
32,60,49,71,204,Low
17,42,185,34,457,Low
23,51,238,22,825,Low
35,78,233,81,773,Moderate
26,73,207,57,420,Low
27,50,170,29,204,Low
31,42,26,33,53,Low
27,30,175,53,697,Low
31,82,85,57,124,Low
22,41,59,23,71,Low
20,81,160,77,617,Moderate
16,46,44,57,556,Low
19,68,194,46,523,Low
15,40,44,72,97,Low
31,92,60,25,277,Low
25,41,159,52,402,Low
27,40,144,77,362,Low
29,77,228,68,58,Low
32,77,239,46,608,Low
19,77,239,25,258,Low
23,63,2,67,296,Low
30,80,103,36,956,Low
27,95,103,47,819,Low
29,35,188,72,315,Low
15,83,157,27,539,Low
29,46,161,85,538,Low
31,34,110,48,454,Low
35,53,25,76,431,Low
33,55,187,28,829,Low
18,37,180,78,711,Low
30,62,79,49,274,Low
19,86,35,33,955,Low
22,54,33,33,219,Low
27,84,149,24,505,Low
31,90,191,40,967,Low
34,95,208,43,335,Low
31,72,1,29,650,Low
18,71,63,69,22,Low
31,76,86,35,702,Low
28,31,146,35,821,Low
18,64,163,85,6,Low
16,87,55,51,403,Low
21,48,184,49,38,Low
29,85,24,53,826,Low
28,35,72,66,819,Low
22,64,104,36,493,Low
15,85,157,74,974,Moderate
21,68,117,35,762,Low
15,37,198,83,994,Low
30,34,92,48,808,Low
20,38,26,87,48,Low
28,63,231,42,477,Low
30,71,164,69,456,Moderate
34,37,235,45,848,Low
27,53,135,37,561,Low
26,30,179,30,61,Low
15,44,177,28,604,Low
19,68,195,59,704,Low
18,57,59,55,499,Low
24,74,207,33,773,Low
16,35,164,43,847,Low
32,94,116,86,135,Low
32,66,5,83,976,Low
24,33,135,61,770,Low
24,52,137,40,894,Low
30,80,33,89,361,Low
18,88,63,55,364,Low
26,50,167,40,608,Low
18,91,133,24,700,Low
16,50,187,66,581,Low
26,94,171,74,403,High
18,49,146,53,161,Low
26,88,29,48,728,Low
19,51,168,56,66,Low
35,47,170,85,35,Low
20,72,239,59,196,Low
18,89,113,32,143,Low
24,49,194,24,869,Low
22,46,93,30,623,Low
32,93,203,87,736,High
26,56,75,54,918,Low
18,67,98,85,896,Low
31,53,191,61,457,Low
17,86,201,27,794,Low
22,44,142,75,503,Low
18,90,90,74,779,Moderate
35,91,191,21,364,Low
33,75,119,70,682,Moderate
26,30,106,27,95,Low
32,86,88,59,701,Low
29,49,25,62,42,Low
31,86,77,38,700,Low
34,63,146,52,691,Low
30,79,119,30,10,Low
32,50,5,34,297,Low
18,85,245,58,590,Low
27,33,223,67,872,Low
27,77,80,33,467,Low
32,94,183,69,662,Moderate
27,94,219,38,155,Low
19,43,198,80,500,Low
24,83,55,90,591,Low
31,68,10,49,81,Low
31,63,234,22,565,Low
27,83,24,33,733,Low
15,77,133,57,453,Low
35,45,112,80,428,Low
27,69,218,29,729,Low
34,51,168,50,607,Low
16,48,224,46,167,Low
18,33,211,20,698,Low
34,59,21,69,426,Low
23,36,70,89,333,Low
25,60,49,32,600,Low
20,86,137,23,560,Low
34,76,92,37,872,Low
22,52,126,74,246,Low
28,42,123,25,944,Low
29,69,194,37,149,Low
18,33,56,33,757,Low
19,32,203,70,914,Low
31,73,193,63,738,Moderate
34,60,20,55,898,Low
22,82,51,63,19,Low
19,73,158,22,448,Low
33,77,163,74,497,Moderate
30,71,12,27,894,Low
33,38,228,67,879,Low
20,46,138,78,227,Low
17,45,187,75,350,Low
29,32,165,81,990,Low
23,84,78,70,96,Low
16,42,150,26,809,Low
29,81,83,27,589,Low
21,82,144,34,24,Low
19,31,13,60,353,Low
34,45,158,41,647,Low
21,71,197,62,202,Moderate
24,38,96,74,84,Low
26,49,166,60,531,Low
25,80,47,65,699,Low
32,30,51,81,772,Low
33,30,247,49,433,Low
20,73,186,55,715,Low
31,31,41,26,632,Low
18,60,167,72,381,Low
28,41,193,71,844,Low
15,73,87,38,48,Low
26,70,117,53,915,Low
28,56,98,75,854,Low
31,74,84,65,433,Moderate
29,87,96,42,136,Low
22,69,38,22,494,Low
35,87,243,60,132,Low
28,62,188,48,467,Low
22,30,91,74,186,Low
33,75,68,35,355,Low
24,38,160,87,719,Low
22,80,136,41,803,Low
20,74,30,48,869,Low
21,86,221,41,818,Low
19,95,44,46,489,Low
18,74,212,37,395,Low
35,52,32,60,474,Low
29,33,72,73,571,Low
27,47,190,36,599,Low
27,43,60,24,805,Low
27,67,11,68,66,Low
31,64,56,60,414,Low
28,45,8,42,499,Low
23,34,162,33,120,Low
31,79,151,45,248,Low
35,92,132,31,522,Low
19,89,98,34,805,Low
15,49,218,35,948,Low
24,75,94,21,109,Low
15,76,108,39,272,Low
18,34,142,28,124,Low
34,50,146,23,246,Low
20,67,56,69,59,Low
17,86,205,68,186,Low
34,62,49,34,434,Low
17,33,216,59,511,Low
16,70,143,72,843,Low
25,33,55,75,853,Low
34,62,208,45,309,Low
26,76,100,80,199,Low
26,68,50,46,581,Low
15,80,141,82,834,Moderate
34,73,238,23,162,Low
19,80,137,36,793,Low
23,46,151,32,332,Low
31,46,20,81,477,Low
33,61,227,36,840,Low
32,66,20,32,864,Low
22,57,176,77,152,Low
22,34,74,52,970,Low
27,60,100,76,761,Low
23,89,62,53,418,Low
22,75,229,90,631,Moderate
20,87,109,78,498,Moderate
18,37,188,47,898,Low
24,64,156,48,320,Low
23,31,178,42,442,Low
22,62,4,33,546,Low
33,30,100,59,648,Low
21,71,178,33,526,Low
21,79,188,86,618,Moderate
27,87,150,61,306,Moderate
28,30,23,20,86,Low
32,94,184,27,834,Low
27,63,18,40,502,Low
23,42,43,89,97,Low
32,40,224,79,925,Low
18,34,221,85,817,Low
19,70,124,73,649,Low
18,90,76,76,58,Low
32,46,15,70,572,Low
33,36,203,56,138,Low
25,63,64,42,276,Low
15,34,238,70,621,Low
26,91,198,55,232,Low
24,87,67,33,243,Low
19,54,95,81,341,Low
26,95,141,37,437,Low
33,79,66,72,215,Low
17,38,40,54,517,Low
19,38,109,89,994,Low
34,47,208,24,975,Low
25,60,174,84,64,Low
34,80,15,31,774,Low
28,84,78,51,611,Low
20,65,236,54,213,Low
21,90,174,68,48,Low
20,72,202,56,1000,Low
26,45,219,73,921,Low
15,40,171,54,452,Low
26,94,22,48,458,Low
22,80,101,44,521,Low
28,89,21,77,167,Low
19,86,127,68,213,Moderate
35,35,61,53,129,Low
35,66,102,57,576,Low
23,51,1,49,941,Low
26,58,95,21,75,Low
23,73,106,46,428,Low
19,43,154,63,153,Low
34,61,28,89,317,Low
15,62,78,34,758,Low
28,95,47,68,500,Low
20,93,167,33,106,Low
28,90,104,58,666,Low
25,33,131,83,300,Low
34,55,152,64,745,Low
23,81,222,65,726,Moderate
17,40,194,39,807,Low
22,72,135,74,227,Moderate
18,68,12,55,400,Low
26,44,157,34,97,Low
17,85,125,87,721,Moderate
24,72,51,34,48,Low
34,46,235,73,792,Low
35,95,4,89,987,Low
31,58,130,27,448,Low
19,88,215,57,446,Low
24,69,204,63,105,Low
25,58,47,50,423,Low
21,38,144,27,279,Low
29,55,72,52,944,Low
24,47,144,45,933,Low
17,43,23,39,501,Low
29,47,1,79,52,Low
34,69,159,75,884,Low
25,84,192,34,162,Low
30,80,45,72,840,Low
33,63,228,50,754,Low
25,78,86,76,182,Low
33,69,141,64,21,Low
23,73,8,42,154,Low
21,42,245,79,928,Low
31,67,193,65,503,Low
26,93,143,51,771,Low
32,48,23,76,739,Low
31,37,237,80,974,Low
16,39,110,42,152,Low
28,40,212,21,374,Low
26,65,22,24,849,Low
28,59,24,85,782,Low
33,59,30,90,340,Low
15,61,242,50,784,Low
21,87,56,21,836,Low
34,52,242,31,468,Low
31,90,97,72,835,Moderate
27,92,163,46,401,Low
16,40,1,32,729,Low
35,85,243,63,916,Moderate
21,89,227,53,332,Low
32,90,56,66,8,Low
17,75,13,20,738,Low
34,50,131,74,286,Low
25,35,151,58,220,Low
24,94,35,62,145,Low
28,66,12,87,850,Low
31,76,146,32,721,Low
23,44,212,51,594,Low
34,40,163,57,201,Low
27,53,16,47,302,Low
33,33,126,45,342,Low
32,39,59,62,237,Low
26,63,213,25,507,Low
29,80,20,77,527,Low
32,59,49,20,566,Low
31,57,220,31,225,Low
26,76,69,71,133,Low
30,76,12,45,774,Low
23,50,153,51,318,Low
30,90,26,68,945,Low
19,35,152,83,605,Low
18,90,125,78,251,Moderate
23,41,98,58,176,Low
33,81,179,68,371,Moderate
22,60,8,26,117,Low
19,78,95,25,560,Low
25,58,130,31,968,Low
16,73,60,71,546,Low
15,35,159,34,657,Low
17,52,158,20,173,Low
15,92,146,31,453,Low
28,59,201,43,183,Low
19,48,3,23,480,Low
30,79,19,53,728,Low
24,66,41,85,535,Low
19,30,84,38,43,Low
30,30,231,60,933,Low
18,58,25,44,581,Low
18,58,179,58,755,Low
25,43,11,72,991,Low
31,36,61,58,706,Low
18,75,158,23,413,Low
35,43,93,42,246,Low
33,40,121,76,788,Low
24,54,112,89,368,Low
15,87,177,86,983,High
33,75,43,28,717,Low
31,49,206,37,717,Low
32,47,167,65,305,Low
33,45,172,67,826,Low
27,45,63,21,221,Low
24,42,157,59,103,Low
20,94,76,24,681,Low
28,71,220,35,232,Low
35,70,85,58,832,Low
19,85,238,60,18,Low
16,87,76,76,596,Low
29,53,194,50,544,Low
28,49,65,23,954,Low
27,59,35,76,86,Low
24,52,213,88,859,Low
21,38,9,36,977,Low
22,88,114,74,942,Moderate
34,76,72,26,557,Low
30,67,26,90,569,Low
32,58,45,62,34,Low
16,93,13,50,589,Low
27,42,247,27,739,Low
32,81,174,71,587,Moderate
25,36,80,83,217,Low
16,56,37,76,333,Low
24,93,83,22,217,Low
32,38,111,89,242,Low
22,95,37,26,961,Low
29,63,151,25,67,Low
19,40,103,67,635,Low
31,70,128,51,154,Low
19,94,192,34,152,Low
20,47,10,77,825,Low
25,62,214,34,698,Low
15,46,150,21,98,Low
22,49,248,52,674,Low
27,73,135,89,495,Moderate
23,51,207,64,604,Low
19,95,245,80,140,Low
24,53,185,23,31,Low
19,72,157,67,311,Moderate
30,71,15,44,660,Low
16,74,108,82,998,Moderate
26,50,207,40,880,Low
18,49,192,55,928,Low
32,84,27,38,244,Low
21,43,143,60,152,Low
32,59,139,70,925,Low
17,34,182,46,181,Low
16,58,193,43,424,Low
16,74,147,73,745,Moderate
29,66,9,39,945,Low
35,77,18,21,799,Low
30,34,110,58,977,Low
32,86,106,55,975,Low
20,87,50,48,841,Low
27,34,73,55,115,Low
25,77,156,47,963,Low
31,57,41,68,198,Low
34,84,76,62,176,Low
27,86,208,28,693,Low
32,74,65,58,907,Low
35,33,248,55,977,Low
29,84,107,32,353,Low
27,86,118,72,892,Moderate
34,68,9,73,975,Low
31,91,94,78,255,Moderate
19,50,23,66,829,Low
35,76,155,40,245,Low
26,51,114,31,664,Low
16,45,210,42,138,Low
29,49,69,38,308,Low
23,73,167,31,769,Low
31,48,143,76,773,Low
25,34,71,69,592,Low
31,88,228,80,152,Low
19,40,29,64,464,Low
17,40,154,35,148,Low
34,78,197,76,849,Moderate
19,48,199,50,826,Low
19,50,48,87,614,Low
28,61,111,26,828,Low
35,51,243,74,75,Low
32,50,27,55,308,Low
26,48,105,70,419,Low
21,34,185,79,325,Low
27,65,14,37,422,Low
26,58,188,76,81,Low
25,64,188,58,151,Low
31,32,106,52,848,Low
35,94,219,35,905,Low
16,84,249,45,457,Low
33,83,19,43,182,Low
19,31,36,24,413,Low
22,75,81,20,242,Low
33,59,232,64,223,Low
16,82,29,79,47,Low
23,93,87,55,292,Low
26,53,89,31,497,Low
18,65,233,30,342,Low
29,93,59,37,360,Low
23,72,167,38,30,Low
17,66,217,85,159,Low
22,70,8,77,185,Low
27,74,145,76,100,Low
34,76,49,72,111,Low
15,64,143,55,109,Low
32,51,250,22,512,Low
19,54,164,75,300,Low
24,85,199,22,574,Low
24,41,36,75,183,Low
19,33,87,41,784,Low
20,61,212,49,622,Low
19,89,243,43,974,Low
19,88,37,22,678,Low
24,52,91,86,756,Low
33,41,123,88,235,Low
18,68,241,62,536,Low
27,81,184,84,753,Moderate
18,80,3,61,788,Low
19,71,176,58,252,Low
31,40,40,39,151,Low
16,75,60,72,298,Low
20,75,63,47,272,Low
26,65,218,87,676,Low
25,72,221,88,783,Moderate
34,85,175,25,660,Low
21,51,139,27,93,Low
32,67,1,74,20,Low
23,40,222,53,621,Low
35,34,98,73,84,Low
33,80,199,78,868,Moderate
25,52,137,30,803,Low
20,74,117,48,286,Low
27,71,85,89,480,Moderate
32,33,154,23,45,Low
27,67,168,48,846,Low
22,58,98,55,195,Low
32,93,57,85,137,Low
26,64,227,63,586,Low
34,62,159,28,249,Low
25,50,188,55,180,Low
33,73,36,28,90,Low
24,32,5,46,311,Low
23,79,112,50,630,Low
22,39,194,50,50,Low
27,80,44,45,56,Low
23,90,141,40,798,Low
31,80,45,44,833,Low
21,55,129,47,817,Low
16,72,93,39,611,Low
27,32,80,70,623,Low
17,95,5,26,974,Low
25,42,234,67,32,Low
16,63,157,40,299,Low
25,89,101,61,371,Moderate
31,71,83,30,341,Low
24,82,61,51,506,Low
26,41,213,80,58,Low
19,76,36,34,483,Low
25,65,199,56,740,Low
30,67,52,61,934,Low
17,77,188,45,61,Low
23,45,202,39,248,Low
15,52,12,55,29,Low
26,40,221,86,554,Low
15,54,155,28,395,Low
27,91,184,34,72,Low
23,59,205,41,408,Low
31,54,73,60,15,Low
31,32,215,24,475,Low
22,64,240,37,82,Low
18,41,214,25,290,Low
31,47,133,21,83,Low
18,66,241,69,921,Low
21,87,204,48,646,Low
29,49,5,40,848,Low
26,58,144,55,895,Low
27,90,83,54,19,Low
34,73,230,53,496,Low
26,47,220,48,301,Low
16,56,94,69,940,Low
28,37,194,84,0,Low
33,38,247,45,821,Low
31,67,103,40,536,Low
30,36,90,47,950,Low
25,32,97,48,886,Low
32,43,223,34,920,Low
34,75,47,48,482,Low
33,72,119,41,510,Low
18,50,83,54,110,Low
18,71,211,84,881,Moderate
28,60,63,24,841,Low
24,51,230,58,26,Low
16,50,204,89,72,Low
22,41,97,81,881,Low
30,85,153,61,976,Moderate
17,33,216,28,389,Low
34,71,105,35,924,Low
30,94,159,36,273,Low
15,69,217,23,724,Low
25,75,111,41,798,Low
26,62,173,50,882,Low
35,50,19,31,721,Low
29,82,193,73,419,Moderate
17,65,3,29,301,Low
23,41,25,87,348,Low
28,83,212,73,495,Moderate
23,73,229,55,15,Low
31,42,86,42,76,Low
16,83,75,59,744,Low
33,44,173,39,528,Low
34,67,112,37,587,Low
27,82,232,21,779,Low
29,30,96,54,496,Low
16,93,243,39,299,Low
27,48,195,63,195,Low
21,64,105,36,441,Low
25,92,176,68,436,Moderate
18,46,236,25,508,Low
31,30,246,59,190,Low
29,86,80,49,173,Low
21,75,15,27,268,Low
22,42,110,67,277,Low
26,85,159,74,791,Moderate
24,93,15,30,715,Low
19,89,108,73,365,Moderate
17,32,1,39,650,Low
15,35,241,27,618,Low
32,79,137,63,912,Moderate
25,95,130,39,954,Low
31,40,236,41,93,Low
25,82,196,51,549,Low
24,41,146,77,522,Low
20,95,105,86,525,Moderate
35,57,155,41,418,Low
15,39,135,60,743,Low
15,45,156,65,590,Low
26,61,176,53,692,Low
20,79,173,47,834,Low
28,35,117,47,892,Low
17,51,38,25,890,Low
34,67,225,53,900,Low
21,36,232,36,626,Low
26,82,185,45,698,Low
35,30,62,40,726,Low
27,63,95,30,8,Low
22,92,214,67,457,Moderate
24,82,142,24,682,Low
22,84,134,20,156,Low
18,93,173,46,241,Low
30,48,31,64,409,Low
25,52,234,52,570,Low
31,85,39,73,939,Low
29,52,76,65,161,Low
20,88,162,39,457,Low
21,95,1,26,858,Low
32,33,84,43,241,Low
24,63,221,52,597,Low
35,56,35,27,168,Low
20,91,171,70,670,Moderate
28,45,60,74,824,Low
35,41,83,32,895,Low
15,73,93,75,297,Moderate
24,53,2,41,19,Low
31,83,121,66,495,Moderate
18,78,20,87,560,Low
16,44,218,76,587,Low
17,57,237,53,541,Low
21,40,173,52,998,Low
28,80,103,69,381,Moderate
15,86,47,49,950,Low
35,83,219,36,674,Low
19,87,79,57,640,Low
17,50,216,75,555,Low
20,33,177,82,521,Low
25,36,155,54,699,Low
20,37,71,72,356,Low
29,72,191,82,873,Moderate
23,66,179,28,63,Low
17,50,161,68,927,Low
19,66,79,85,750,Low
26,49,71,51,231,Low
18,57,153,79,808,Low
35,61,71,31,957,Low
21,50,31,86,834,Low
27,70,43,59,145,Low
35,92,11,79,815,Low
27,46,115,72,486,Low
25,45,158,82,840,Low
33,88,104,22,118,Low
19,83,12,55,543,Low
27,69,196,63,134,Low
32,68,24,21,585,Low
29,76,137,60,813,Low
20,73,65,43,343,Low
31,41,104,79,104,Low
33,78,66,75,531,Low
15,40,211,70,386,Low
16,74,154,60,953,Low
19,62,176,39,394,Low
19,94,71,41,491,Low
19,34,105,43,754,Low
31,93,18,32,59,Low
31,69,218,70,768,Low
20,68,225,48,862,Low
24,92,85,28,67,Low
15,84,120,76,47,Low
25,89,115,57,981,Low
26,56,242,48,977,Low
19,73,230,61,226,Moderate
20,76,31,70,50,Low
18,30,162,81,947,Low
30,44,209,61,200,Low
34,50,81,23,119,Low
27,90,200,49,97,Low
33,33,2,22,25,Low
31,90,62,68,264,Low
20,93,2,31,813,Low
32,49,184,38,199,Low
20,52,43,69,203,Low
32,48,208,42,661,Low
34,36,28,70,982,Low
18,63,77,82,326,Low
18,40,158,65,816,Low
31,77,228,26,25,Low
26,76,131,23,303,Low
20,60,47,36,747,Low
26,44,68,78,380,Low
22,88,6,62,108,Low
15,37,138,23,220,Low
30,65,26,88,85,Low
33,63,5,43,435,Low
19,77,107,75,678,Moderate
28,88,77,31,462,Low
22,82,216,24,710,Low
32,85,55,53,703,Low
22,78,23,54,30,Low
32,92,200,22,230,Low
27,83,95,81,295,Moderate
22,57,66,54,102,Low
23,60,209,30,991,Low
32,49,31,45,835,Low
35,38,147,54,203,Low
17,81,77,31,846,Low
22,92,62,27,720,Low
30,31,100,36,667,Low
35,58,96,55,383,Low
16,68,236,37,914,Low
31,34,48,32,832,Low
19,32,95,31,956,Low
20,91,223,86,708,High
18,82,239,57,955,Low
27,54,225,41,676,Low
19,90,182,87,840,High
34,38,152,80,700,Low
16,50,17,35,557,Low
35,62,156,81,885,Low
29,90,7,60,523,Low
33,80,128,45,369,Low
33,41,101,28,693,Low
26,71,230,30,504,Low
32,36,180,71,113,Low
21,60,44,87,583,Low
33,39,151,75,7,Low
18,48,30,82,410,Low
22,63,70,49,1000,Low
27,87,25,66,608,Low
32,42,189,47,644,Low
33,93,153,57,551,Low
20,74,23,89,383,Low
29,39,12,65,109,Low
16,59,9,28,939,Low
19,76,68,60,116,Low
27,51,119,77,933,Low
16,87,156,55,380,Low
24,87,111,83,42,Low
24,65,159,87,487,Low
19,50,125,69,792,Low
17,79,88,61,798,Moderate
25,47,67,34,673,Low
23,45,189,38,690,Low
19,39,185,87,533,Low
15,41,186,33,311,Low
19,65,170,36,496,Low
35,78,134,83,427,Moderate
23,54,150,52,181,Low
29,87,63,53,194,Low
25,51,137,61,167,Low
18,36,149,30,293,Low
24,62,246,34,450,Low
23,56,202,22,219,Low
34,71,169,87,550,Moderate
33,67,30,43,129,Low
20,47,117,56,498,Low
18,80,69,38,122,Low
24,30,29,28,598,Low
31,63,178,35,626,Low
29,76,6,43,830,Low
30,66,37,77,358,Low
31,91,61,67,970,Low
29,50,84,63,959,Low
27,59,15,77,499,Low
15,83,217,74,153,Low
35,78,103,40,710,Low
22,45,138,29,605,Low
20,40,166,43,253,Low
21,76,202,20,587,Low
16,66,126,74,457,Low
28,46,159,53,691,Low
28,85,51,63,954,Low
24,86,130,26,472,Low
16,42,232,42,755,Low
21,46,187,67,114,Low
